game_num,season_type,opponent,home_away,win,team_pts,opp_pts,point_diff,wins,losses,ortg,drtg,pace,ts_pct,off_efg_pct,off_tov_pct,off_orb_pct,def_efg_pct,def_tov_pct,ftr,3par,team_ast_pct,team_trb_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_efg_pct,jokic_fg_pct,jokic_3p_pct,jokic_ft_pct,jokic_fga,jokic_fg,jokic_mp,jokic_gmsc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
1,Regular,Utah Jazz,Away,0,102,123,-21,0,1,1009.0,1216.0,101.1,0.561,0.512,188.0,238.0,0.602,17.1,0.217,0.265,525.0,449.0,29.0,11.0,13.0,2.0,15.0,0.614,0.545,0.6,0.5,22.0,12.0,36.27,293.0,1.0,1.0,2.0,3.0,5.0,1
2,Regular,Golden State Warriors,Away,1,128,123,5,1,1,121.1,1164.0,1057.0,0.66,0.622,17.1,300.0,0.563,16.0,0.291,0.395,652.0,539.0,22.0,7.0,12.0,9.0,6.0,0.607,0.571,0.25,833.0,14.0,8.0,34.97,17.0,1.0,1.0,1.0,1.0,4.0,0
3,Regular,Oklahoma City Thunder,Home,1,122,117,5,2,1,1158.0,111.0,1054.0,0.618,0.612,154.0,196.0,0.527,11.1,0.365,0.447,786.0,495.0,28.0,5.0,14.0,4.0,21.0,0.781,0.75,0.5,1.0,16.0,12.0,29.87,249.0,0.0,0.0,3.0,1.0,2.0,0
4,Regular,Portland Trail Blazers,Away,0,110,135,-25,2,2,1157.0,1420.0,951.0,0.566,0.56,7.6,217.0,675.0,94.0,0.154,0.341,622.0,458.0,27.0,11.0,10.0,1.0,13.0,0.781,0.75,0.333,0.4,16.0,12.0,35.23,297.0,0.0,2.0,3.0,1.0,3.0,1
5,Regular,Los Angeles Lakers,Home,1,110,99,11,3,2,1074.0,967.0,1024.0,0.543,0.505,98.0,184.0,0.489,12.6,0.228,0.37,810.0,535.0,25.0,3.0,10.0,5.0,-19.0,0.5,0.478,0.167,1.0,23.0,11.0,29.97,14.2,0.0,0.0,0.0,1.0,6.0,0
6,Regular,Utah Jazz,Home,1,117,101,16,4,2,1218.0,105.1,961.0,0.585,0.559,10.7,36.2,0.473,9.1,0.4,0.435,462.0,604.0,33.0,9.0,14.0,4.0,17.0,938.0,875.0,1.0,0.6,16.0,14.0,35.58,364.0,1.0,1.0,3.0,2.0,2.0,0
7,Regular,Los Angeles Lakers,Away,0,110,121,-11,4,3,1124.0,1237.0,979.0,0.529,0.505,8.0,255.0,0.547,79.0,0.188,0.417,585.0,485.0,28.0,9.0,16.0,1.0,33.0,0.594,0.563,0.333,1.0,16.0,9.0,33.35,339.0,3.0,0.0,3.0,1.0,3.0,0
8,Regular,Oklahoma City Thunder,Away,1,122,110,12,5,3,1210.0,109.1,1009.0,0.67,0.643,18.0,21.1,0.516,9.0,0.19,0.369,71.1,540.0,35.0,12.0,14.0,2.0,16.0,667.0,625.0,0.333,0.6,24.0,15.0,36.37,365.0,1.0,1.0,1.0,2.0,6.0,1
9,Regular,San Antonio Spurs,Home,1,126,101,25,6,3,1298.0,104.1,971.0,0.689,695.0,165.0,313.0,0.563,145.0,0.115,0.333,698.0,627.0,35.0,5.0,13.0,3.0,3.0,0.58,0.56,0.125,0.6,25.0,14.0,36.6,296.0,3.0,1.0,3.0,1.0,8.0,0
10,Regular,San Antonio Spurs,Away,1,115,109,6,7,3,1087.0,103.1,1058.0,0.594,0.58,185.0,22.2,0.598,21.1,0.227,0.273,702.0,513.0,36.0,11.0,21.0,3.0,12.0,0.538,0.5,0.333,1.0,26.0,13.0,38.23,359.0,0.0,1.0,3.0,2.0,6.0,1
11,Regular,Indiana Pacers,Away,1,122,119,3,8,3,1123.0,1096.0,1086.0,0.613,0.557,18.1,250.0,0.542,147.0,0.295,0.318,628.0,516.0,32.0,9.0,16.0,4.0,3.0,0.391,0.348,0.286,1.0,23.0,8.0,35.75,276.0,1.0,0.0,2.0,2.0,7.0,0
12,Regular,Boston Celtics,Away,0,112,131,-19,8,4,1198.0,1402.0,935.0,0.556,0.522,5.6,234.0,0.644,6.6,0.217,0.315,619.0,452.0,26.0,18.0,16.0,4.0,5.0,0.525,0.5,0.125,1.0,20.0,10.0,36.17,31.1,1.0,1.0,2.0,1.0,8.0,1
13,Regular,Chicago Bulls,Away,1,126,103,23,9,4,1269.0,1037.0,993.0,0.706,0.681,15.2,15.2,0.531,174.0,0.263,0.338,688.0,500.0,18.0,7.0,10.0,3.0,-16.0,0.615,0.615,0.333,0.4,13.0,8.0,27.82,159.0,1.0,1.0,5.0,0.0,0.0,0
14,Regular,New York Knicks,Home,0,103,106,-3,9,5,1070.0,110.1,962.0,0.567,0.524,14.2,19.0,0.488,7.6,0.244,0.463,500.0,512.0,9.0,5.0,5.0,1.0,-4.0,0.563,0.5,0.25,1.0,8.0,4.0,15.22,9.3,0.0,1.0,1.0,1.0,4.0,0
15,Regular,Dallas Mavericks,Away,0,99,127,-28,9,6,1057.0,1356.0,937.0,0.506,0.478,11.7,255.0,0.682,10.1,0.2,0.333,632.0,450.0,30.0,12.0,13.0,1.0,4.0,0.694,667.0,0.5,1.0,18.0,12.0,36.33,383.0,3.0,2.0,4.0,1.0,2.0,1
16,Regular,Dallas Mavericks,Away,1,98,97,1,10,6,1032.0,1022.0,949.0,0.567,0.532,156.0,11.8,0.545,13.0,0.244,0.346,595.0,550.0,38.0,8.0,19.0,3.0,-12.0,0.5,0.452,0.375,636.0,31.0,14.0,42.15,328.0,3.0,0.0,3.0,3.0,8.0,0
17,Regular,Detroit Pistons,Home,0,108,110,-2,10,7,1115.0,1135.0,969.0,0.554,0.529,156.0,349.0,0.557,145.0,0.302,0.221,65.1,512.0,39.0,9.0,11.0,5.0,14.0,0.586,0.586,0.333,1.0,29.0,17.0,34.2,319.0,1.0,0.0,3.0,0.0,0.0,0
18,Regular,Oklahoma City Thunder,Away,1,131,126,5,11,7,1257.0,1209.0,944.0,0.618,0.557,15.2,386.0,0.526,8.4,0.466,0.432,738.0,585.0,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
19,Regular,Los Angeles Clippers,Away,1,114,104,10,12,7,1245.0,1136.0,916.0,0.575,0.551,5.7,256.0,625.0,14.4,0.258,0.337,614.0,529.0,32.0,15.0,10.0,0.0,29.0,0.658,0.632,0.5,875.0,19.0,12.0,33.35,392.0,1.0,0.0,2.0,1.0,2.0,1
20,Regular,Houston Rockets,Home,1,129,113,16,13,7,1330.0,1165.0,970.0,666.0,636.0,12.6,34.2,0.553,15.0,0.227,0.341,620.0,538.0,21.0,16.0,5.0,3.0,6.0,0.5,0.5,0.0,0.5,18.0,9.0,34.92,217.0,1.0,2.0,4.0,0.0,3.0,0
21,Regular,Houston Rockets,Home,1,120,100,20,14,7,1258.0,1048.0,954.0,0.654,633.0,11.6,216.0,0.489,12.7,0.241,0.386,682.0,519.0,36.0,14.0,13.0,0.0,11.0,0.587,0.565,0.25,0.75,23.0,13.0,38.17,399.0,2.0,1.0,3.0,1.0,4.0,1
22,Regular,Atlanta Hawks,Away,0,109,117,-8,14,8,1158.0,1243.0,941.0,0.601,0.6,15.0,225.0,0.614,11.3,0.153,0.376,689.0,434.0,22.0,10.0,15.0,4.0,1.0,0.313,0.281,0.286,1.0,32.0,9.0,37.12,129.0,1.0,0.0,2.0,2.0,7.0,1
23,Regular,Pelicanos de Nova Orleans,Away,0,106,121,-15,14,9,1062.0,1212.0,999.0,0.579,0.556,17.2,23.1,0.574,10.2,0.296,0.383,585.0,544.0,23.0,5.0,16.0,3.0,3.0,0.365,0.346,0.5,0.571,26.0,9.0,34.37,147.0,0.0,2.0,5.0,1.0,2.0,0
